siren,siret,dateCreationEtablissement,trancheEffectifsEtablissement,denominationUniteLegale,nomenclatureActivitePrincipaleUniteLegale,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,enseigne1Etablissement,activitePrincipaleEtablissement,adresse,nom,location,point,latitude,longitude,altitude
329010201,32901020100039,1991-09-23,32,ROLAND MONTERRAT,NAFRev2,226,,RUE,DE LA LOEZE,1570,FEILLENS,,10.85Z,"Roland Monterrat, 226  Rue De La Loeze, 1570 Feillens",Roland Monterrat Feillens,"226 Rue de la Loeze, 01569 Feillens, France","(46.3251253, 4.8882283, 0.0)",46.3251253,4.8882283,0.0
388924854,38892485400028,1999-11-15,32,SOFRADIM PRODUCTION,NAFRev2,116,,AV,DE FORMANS,1600,TREVOUX,,32.50A,"Sofradim Production, 116  Av De Formans, 1600 Trevoux",Sofradim Production Trevoux,"116 Avenue du Formans, 01600 Trévoux, France","(45.9517648, 4.7564041, 0.0)",45.9517648,4.7564041,0.0
713780278,71378027800030,1981-09-10,32,DANFOSS COMMERCIAL COMPRESSEURS,NAFRev2,nan,,RTE,DEPARTEMENTALE 28,1600,REYRIEUX,,28.13Z,"Danfoss Commercial Compresseurs,  Rte Departementale 28, 1600 Reyrieux",Danfoss Commercial Compresseurs Reyrieux,"Z.I. de Reyrieux, Rue du Pou du Ciel, 01600 Reyrieux, France","(45.944261, 4.814051399999999, 0.0)",45.944261,4.814051399999999,0.0
323438515,32343851500021,1982-01-01,41,ELECTRICFIL AUTOMOTIVE,NAFRev2,77,,ALL,DES GRANDES COMBES,1700,BEYNOST,,26.51B,"Electricfil Automotive, 77  All Des Grandes Combes, 1700 Beynost",Electricfil Automotive Beynost,"77 Allée des Grandes Combes, 01700 Beynost, France","(45.8235696, 4.9915243, 0.0)",45.8235696,4.9915243,0.0
502454044,50245404400012,2008-02-01,32,TORAY FILMS EUROPE,NAFRev2,nan,,PL,D'ARMENIE,1700,SAINT-MAURICE-DE-BEYNOST,,22.21Z,"Toray Films Europe,  Pl D'Armenie, 1700 Saint-Maurice-De-Beynost",Toray Films Europe Saint-Maurice-De-Beynost,"Place d'Arménie, 01700 Saint-Maurice-de-Beynost, France","(45.825506, 4.9814174, 0.0)",45.825506,4.9814174,0.0
329035422,32903542200057,1984-10-01,41,MBK INDUSTRIE,NAFRev2,nan,,,ZONE INDUSTRIELLE,2100,ROUVROY,,30.91Z,"Mbk Industrie,   Zone Industrielle, 2100 Rouvroy",Mbk Industrie Rouvroy,"Z.I. Rouvroy, BP 639, 02100 Saint-Quentin, France","(49.8652461, 3.326835, 0.0)",49.8652461,3.326835,0.0
302333075,30233307500018,1900-01-01,41,WEST PHARMACEUTICAL SERVICES FRANCE S.A,NAFRev2,38,,RUE,ROBERT DEGON,2170,LE NOUVION-EN-THIERACHE,,22.19Z,"West Pharmaceutical Services France S.A, 38  Rue Robert Degon, 2170 Le Nouvion-En-Thierache",West Pharmaceutical Services S.A Le Nouvion-En-Thierache,"Le FR, 38 Rue Robert Degon, 02170 Le Nouvion-en-Thiérache, France","(50.0195845, 3.784567, 0.0)",50.0195845,3.784567,0.0
402171656,40217165600018,1995-09-01,32,LE CREUSET,NAFRev2,nan,,RUE,OLIVIER DEGUISE,2230,FRESNOY-LE-GRAND,,25.99A,"Le Creuset,  Rue Olivier Deguise, 2230 Fresnoy-Le-Grand",Le Creuset Fresnoy-Le-Grand,"902 Rue Olivier De Guise, 02230 Fresnoy-le-Grand, France","(49.949901, 3.430289, 0.0)",49.949901,3.430289,0.0
379208077,37920807700030,1994-11-01,32,CEREAL PARTNERS FRANCE,NAFRev2,nan,,,LA VOIE D'URVILLIERS,2240,ITANCOURT,,10.61B,"Cereal Partners France,   La Voie D'Urvilliers, 2240 Itancourt",Cereal Partners Itancourt,"Rue d'Urvillers, 02240 Itancourt, France","(49.8041529, 3.3317202, 0.0)",49.8041529,3.3317202,0.0
542014428,54201442800313,1992-12-31,32,NESTLE FRANCE,NAFRev2,nan,,,LA VOIE D URVILLERS,2240,ITANCOURT,,10.89Z,"Nestle France,   La Voie D Urvillers, 2240 Itancourt",Nestle Itancourt,"Rue d'Urvillers, 02240 Itancourt, France","(49.8048774, 3.3333961, 0.0)",49.8048774,3.3333961,0.0
562038893,56203889300664,2010-01-04,32,BAYER SAS,NAFRev2,nan,,RUE,CYRILLE LIEBERT,2250,MARLE,,20.20Z,"Bayer Sas,  Rue Cyrille Liebert, 2250 Marle",Bayer Sas Marle,"Site industriel de Marle Rue Antoine-Laurent de sur-Serre, Rue Antoine Laur de Lavoisier, 02250 Marle, France","(49.7483453, 3.7762363, 0.0)",49.7483453,3.7762363,0.0
412581878,41258187800011,1997-07-01,32,INTERSNACK FRANCE,NAFRev2,nan,,RTE,DE COMPIEGNE,2290,MONTIGNY-LENGRAIN,,10.72Z,"Intersnack France,  Rte De Compiegne, 2290 Montigny-Lengrain",Intersnack Montigny-Lengrain,"Route de Compiègne, 02290 Montigny-Lengrain, France","(49.3948349, 3.1051257, 0.0)",49.3948349,3.1051257,0.0
533247979,53324797900016,2011-06-23,32,TEREOS FRANCE,NAFRev2,11,,RUE,PASTEUR,2390,ORIGNY-SAINTE-BENOITE,,10.81Z,"Tereos France, 11  Rue Pasteur, 2390 Origny-Sainte-Benoite",Tereos Origny-Sainte-Benoite,"11 Rue Pasteur, 02390 Origny-Sainte-Benoite, France","(49.8396455, 3.4798602, 0.0)",49.8396455,3.4798602,0.0
351430806,35143080600023,1990-03-01,32,EUROKERA,NAFRev2,1,B,AV,DU GENERAL DE GAULLE,2400,CHIERRY,,23.12Z,"Eurokera, 1 B Av Du General De Gaulle, 2400 Chierry",Eurokera Chierry,"1 Avenue du Général de Gaulle, 02400 Chierry, France","(49.0409721, 3.418197, 0.0)",49.0409721,3.418197,0.0
394620298,39462029800031,2007-02-14,32,NOVACEL OPHTALMIQUE SAS,NAFRev2,nan,,,LA MOISERIE,2400,CHATEAU-THIERRY,,32.50B,"Novacel Ophtalmique Sas,   La Moiserie, 2400 Chateau-Thierry",Novacel Ophtalmique Sas Chateau-Thierry,"2 Centre d'activités de la moiserie, 02400 Château-Thierry, France","(49.0654108, 3.3886112, 0.0)",49.0654108,3.3886112,0.0
586680092,58668009200010,1966-01-01,32,SOPROCOS,NAFRev2,40,,RTE,DE CHAUNY,2430,GAUCHY,,20.42Z,"Soprocos, 40  Rte De Chauny, 2430 Gauchy",Soprocos Gauchy,"42 Route de Chauny, 02430 Gauchy, France","(49.8243257, 3.2972403, 0.0)",49.8243257,3.2972403,0.0
398404194,39840419400068,2007-01-23,32,MATERNE,NAFRev2,nan,,PL,ANDRE VENET,2450,BOUE,,10.39B,"Materne,  Pl Andre Venet, 2450 Boue",Materne Boue,"Place Andr� Venet, 02450 Bou�","(50.0082707,3.6948554,0)",50.0082707,3.6948554,0.0
542014428,54201442800321,1992-12-31,32,NESTLE FRANCE,NAFRev2,nan,,RUE,DES FABRIQUES,2450,BOUE,,10.51D,"Nestle France,  Rue Des Fabriques, 2450 Boue",Nestle Boue,"14 Rue des Fabriqués, 02450 Boué, France","(50.00791719999999, 3.6900763, 0.0)",50.00791719999999,3.6900763,0.0
519998405,51999840500020,2010-06-21,32,AML SYSTEMS,NAFRev2,nan,,,L EPINETTE,2500,HIRSON,,27.40Z,"Aml Systems,   L Epinette, 2500 Hirson",Aml Systems Hirson,"ZAC de l'Epinette, 02500 Hirson, France","(49.905449, 4.092031, 0.0)",49.905449,4.092031,0.0
302475611,30247561100083,1997-05-02,32,CAMILLE FOURNET,NAFRev2,9,,RUE,HOCHE,2700,TERGNIER,,15.12Z,"Camille Fournet, 9  Rue Hoche, 2700 Tergnier",Camille Fournet Tergnier,"9 Rue Hoche, 02700 Tergnier, France","(49.6531181, 3.2933013, 0.0)",49.6531181,3.2933013,0.0
330263948,33026394800011,1984-06-18,32,MW FRANCE,NAFRev2,33,,BD,DU 32E REG D INFANTERIE,2700,TERGNIER,,29.32Z,"Mw France, 33  Bd Du 32E Reg D Infanterie, 2700 Tergnier",Mw Tergnier,"33 Boulevard, Rue du 32EME Ri, 02700 Tergnier, France","(49.6447296, 3.289251, 0.0)",49.6447296,3.289251,0.0
307918128,30791812800033,1900-01-01,32,EBERSPACHER SYSTEMES D ECHAPPEMENT SAS,NAFRev2,88,,RUE,LEON BLUM,2830,SAINT-MICHEL,,29.32Z,"Eberspacher Systemes D Echappement Sas, 88  Rue Leon Blum, 2830 Saint-Michel",Eberspacher Systemes D Echappement Sas Saint-Michel,"88 Rue Léon Blum, 02830 Saint-Michel, France","(49.9135774, 4.1314869, 0.0)",49.9135774,4.1314869,0.0
632045837,63204583700168,1900-01-01,32,MANITOWOC CRANE GROUP FRANCE OU         MCG FRANCE,NAFRev2,nan,,RUE,JEAN BAPTISTE GABY,3000,AVERMES,,28.22Z,"Manitowoc Crane Group France Ou         Mcg France,  Rue Jean Baptiste Gaby, 3000 Avermes",Manitowoc Crane Group Ou Mcg Avermes,"32 Rue Jean Baptiste Gaby, 03000 Avermes, France","(46.5804722, 3.3268311, 0.0)",46.5804722,3.3268311,0.0
330139403,33013940300050,1984-07-01,41,GOODYEAR FRANCE,NAFRev2,nan,,,ZAC DE PASQUIS,3100,MONTLUCON,GOODYEAR DUNLOP FRANCE,22.11Z,"Goodyear France,   Zac De Pasquis, 3100 Montlucon",Goodyear Montlucon,"ZI de, Impasse de Pasquis, 03100 Montluçon, France","(46.3713798, 2.5915851, 0.0)",46.3713798,2.5915851,0.0
745780387,74578038700023,1900-01-01,32,ATELIERS MECANIQUES INDUSTRIES SPECIALES,NAFRev2,10,,RUE,JACQUES ALEX DUCHET,3100,MONTLUCON,,25.50A,"Ateliers Mecaniques Industries Speciales, 10  Rue Jacques Alex Duchet, 3100 Montlucon",Ateliers Mecaniques Industries Speciales Montlucon,"21 Rue Jacques Alex Duchet, 03100 Montluçon, France","(46.359827, 2.5970239, 0.0)",46.359827,2.5970239,0.0
350531695,35053169500012,1989-05-02,32,SOFAMA,NAFRev2,nan,,,CREUX DES RENARDS,3110,ESPINASSE-VOZELLE,,15.12Z,"Sofama,   Creux Des Renards, 3110 Espinasse-Vozelle",Sofama Espinasse-Vozelle,"11 Rue Saint-Clément, 03110 Espinasse-Vozelle, France","(46.12564099999999, 3.3238903, 0.0)",46.12564099999999,3.3238903,0.0
327641346,32764134600041,2002-11-29,32,TRADIVAL,NAFRev2,nan,,RTE,DE JALIGNY,3120,LAPALISSE,,10.11Z,"Tradival,  Rte De Jaligny, 3120 Lapalisse",Tradival Lapalisse,"Route de Dompierre, 03120 Lapalisse, France","(46.259185, 3.618095, 0.0)",46.259185,3.618095,0.0
837150424,83715042400039,1900-01-01,32,WAVIN FRANCE,NAFRev2,nan,,RTE,DE CRECHY,3150,VARENNES-SUR-ALLIER,,22.21Z,"Wavin France,  Rte De Crechy, 3150 Varennes-Sur-Allier",Wavin Varennes-Sur-Allier,"ZI, La Feuillouse BP 5, 03150 Varennes-sur-Allier, France","(46.291502, 3.425374, 0.0)",46.291502,3.425374,0.0
432908614,43290861400022,2000-10-16,32,ARRIVE AUVERGNE,NAFRev2,nan,,,LE COQUET,3260,SAINT-GERMAIN-DES-FOSSES,,10.12Z,"Arrive Auvergne,   Le Coquet, 3260 Saint-Germain-Des-Fosses",Arrive Auvergne Saint-Germain-Des-Fosses,"Rue du Coquet, 03260 Saint-Germain-des-Fossés, France","(46.2146819, 3.4375084, 0.0)",46.2146819,3.4375084,0.0
542065479,54206547900165,1998-12-31,32,PSA AUTOMOBILES SA,NAFRev2,nan,,,USINE DE SEPT FONS,3290,DOMPIERRE-SUR-BESBRE,,24.51Z,"Psa Automobiles Sa,   Usine De Sept Fons, 3290 Dompierre-Sur-Besbre",Psa Automobiles Sa Dompierre-Sur-Besbre,"ZA Cité de Sept Fonds, 03290 Dompierre-sur-Besbre, France","(46.5400316, 3.701333, 0.0)",46.5400316,3.701333,0.0
975620675,97562067500010,1956-01-01,32,COSMETIQUE ACTIVE PRODUCTION,NAFRev2,nan,,,ZI DE VICHY RHUE,3300,CREUZIER-LE-VIEUX,,20.42Z,"Cosmetique Active Production,   Zi De Vichy Rhue, 3300 Creuzier-Le-Vieux",Cosmetique Active Production Creuzier-Le-Vieux,"28 Rue de l' Industrie, 03300 Creuzier-le-Vieux, France","(46.1581252, 3.4121427, 0.0)",46.1581252,3.4121427,0.0
572067684,57206768400678,2008-06-30,32,ROBERT BOSCH FRANCE,NAFRev2,176,,RTE,DE LYON,3400,YZEURE,,29.32Z,"Robert Bosch France, 176  Rte De Lyon, 3400 Yzeure",Robert Bosch Yzeure,"176 Route de Lyon, 03400 Yzeure, France","(46.5387748, 3.3459524, 0.0)",46.5387748,3.3459524,0.0
480107911,48010791100194,2005-05-10,42,SAFRAN ELECTRONICS & DEFENSE,NAFRev2,nan,,,LA COTE ROUGE,3410,DOMERAT,,26.51A,"Safran Electronics & Defense,   La Cote Rouge, 3410 Domerat",Safran Electronics & Defense Domerat,"15 Avenue Ambroise Croizat, 03410 Domérat, France","(46.36528329999999, 2.5770428, 0.0)",46.36528329999999,2.5770428,0.0
508513785,50851378500164,2009-03-01,41,SOCOPA VIANDES,NAFRev2,nan,,RTE,DE COSNE,3430,VILLEFRANCHE D'ALLIER,,10.11Z,"Socopa Viandes,  Rte De Cosne, 3430 Villefranche D'Allier",Socopa Viandes Villefranche D'Allier,"Route De Cosne, 03430 Villefranche-d'Allier, France","(46.4021797, 2.8503262, 0.0)",46.4021797,2.8503262,0.0
722063997,72206399700158,1992-01-02,32,SOC DES ATELIERS LOUIS VUITTON,NAFRev2,27,,RUE,PAUL SERAMY,3500,SAINT-POURCAIN-SUR-SIOULE,,15.12Z,"Soc Des Ateliers Louis Vuitton, 27  Rue Paul Seramy, 3500 Saint-Pourcain-Sur-Sioule",Soc Des Ateliers Louis Vuitton Saint-Pourcain-Sur-Sioule,"27 Rue Paul Bert, 03500 Saint-Pourçain-sur-Sioule, France","(46.307265, 3.2927983, 0.0)",46.307265,3.2927983,0.0
722063997,72206399700208,1995-10-06,32,SOC DES ATELIERS LOUIS VUITTON,NAFRev2,6,,RUE,HUBERT PAJOT,3500,SAINT-POURCAIN-SUR-SIOULE,,15.12Z,"Soc Des Ateliers Louis Vuitton, 6  Rue Hubert Pajot, 3500 Saint-Pourcain-Sur-Sioule",Soc Des Ateliers Louis Vuitton Saint-Pourcain-Sur-Sioule,"27 Rue Paul Bert, 03500 Saint-Pourçain-sur-Sioule, France","(46.307265, 3.2927983, 0.0)",46.307265,3.2927983,0.0
352849137,35284913700034,2011-06-30,32,ERASTEEL,NAFRev2,1,,PL,MARTENOT,3600,COMMENTRY,,24.10Z,"Erasteel, 1  Pl Martenot, 3600 Commentry",Erasteel Commentry,"Place Martenot, 03600 Commentry, France","(46.2876231, 2.7448151, 0.0)",46.2876231,2.7448151,0.0
439436569,43943656900099,2004-07-09,32,ADISSEO FRANCE S.A.S.,NAFRev2,3,,RUE,HENRI CHATAIN,3600,COMMENTRY,,20.14Z,"Adisseo France S.A.S., 3  Rue Henri Chatain, 3600 Commentry",Adisseo S.A.S. Commentry,"2 Rue Marcel Lingot, 03600 Commentry, France","(46.2947398, 2.7466466, 0.0)",46.2947398,2.7466466,0.0
305823296,30582329600077,1986-07-01,41,LABORATOIRES M&L,NAFRev2,nan,,,ZI SAINT MAURICE,4100,MANOSQUE,,20.42Z,"Laboratoires M&L,   Zi Saint Maurice, 4100 Manosque",Laboratoires M&L Manosque,"ZI Saint-Maurice, Saint-Maurice, 04100 Manosque, France","(43.8007095, 5.81521, 0.0)",43.8007095,5.81521,0.0
428706204,42870620400065,2001-12-31,41,SANOFI CHIMIE,NAFRev2,45,,CHE,DE METELINE,4200,SISTERON,,20.14Z,"Sanofi Chimie, 45  Che De Meteline, 4200 Sisteron",Sanofi Chimie Sisteron,"45 Chemin de Meteline, 04200 Sisteron, France","(44.2098939, 5.9280509, 0.0)",44.2098939,5.9280509,0.0
319632790,31963279000055,1981-01-01,32,ARKEMA FRANCE,NAFRev2,nan,,CITE,DE SAINT AUBAN,4600,CHATEAU-ARNOUX-SAINT-AUBAN,,20.14Z,"Arkema France,  Cite De Saint Auban, 4600 Chateau-Arnoux-Saint-Auban",Arkema Chateau-Arnoux-Saint-Auban,"Avenue du Jas, 04600 Château-Arnoux-Saint-Auban, France","(44.069228, 6.0001061, 0.0)",44.069228,6.0001061,0.0
612041327,61204132700026,1900-01-01,32,VISHAY SA,NAFRev2,199,,BD,DE LA MADELEINE,6000,NICE,,27.90Z,"Vishay Sa, 199  Bd De La Madeleine, 6000 Nice",Vishay Sa Nice,"199 Boulevard de la Madeleine, 06000 Nice, France","(43.7077407, 7.2307343, 0.0)",43.7077407,7.2307343,0.0
415550110,41555011000019,1955-01-01,32,TOURNAIRE SA,NAFRev2,70,,RTE,DE LA PAOUTE,6130,GRASSE,,25.92Z,"Tournaire Sa, 70  Rte De La Paoute, 6130 Grasse",Tournaire Sa Grasse,"70 Route de la Paoute, 06130 Grasse, France","(43.63762250000001, 6.9554911, 0.0)",43.63762250000001,6.9554911,0.0
415750660,41575066000011,1900-01-01,41,ROBERTET SA,NAFRev2,37,,AV,SIDI BRAHIM,6130,GRASSE,,20.53Z,"Robertet Sa, 37  Av Sidi Brahim, 6130 Grasse",Robertet Sa Grasse,"37 Avenue Sidi Brahim, 06130 Grasse, France","(43.6513483, 6.9267957, 0.0)",43.6513483,6.9267957,0.0
414725101,41472510100086,2013-01-14,51,THALES ALENIA SPACE FRANCE,NAFRev2,5,,ALL,DES GABIANS,6150,CANNES,,30.30Z,"Thales Alenia Space France, 5  All Des Gabians, 6150 Cannes",Thales Alenia Space Cannes,"5 Allée des Gabians, 06150 Cannes, France","(43.540371, 6.955838, 0.0)",43.540371,6.955838,0.0
307378489,30737848900032,1985-10-11,41,LABORATOIRES ARKOPHARMA,NAFRev2,nan,,,1ERE AVENUE,6510,CARROS,,21.20Z,"Laboratoires Arkopharma,   1Ere Avenue, 6510 Carros",Laboratoires Arkopharma Carros,"2709 1ère Avenue, 06510 Carros, France","(43.7885992, 7.210584099999999, 0.0)",43.7885992,7.210584099999999,0.0
417350311,41735031100011,1984-04-01,42,VIRBAC,NAFRev2,nan,,,1ERE AVENUE,6510,CARROS,,21.20Z,"Virbac,   1Ere Avenue, 6510 Carros",Virbac Carros,"2065M 1ère Avenue, 06510 Carros, France","(43.7835279, 7.213578099999999, 0.0)",43.7835279,7.213578099999999,0.0
421106709,42110670900940,2016-07-01,41,SCHNEIDER ELECTRIC FRANCE,NAFRev2,nan,,RUE,ZI 8EME RUE,6510,CARROS,,33.20C,"Schneider Electric France,  Rue Zi 8Eme Rue, 6510 Carros",Schneider Electric Carros,"8ème Rue, 06510 Carros, France","(43.7845627, 7.2125372, 0.0)",43.7845627,7.2125372,0.0
758501001,75850100100260,1978-06-19,32,LEGRAND FRANCE,NAFRev2,159,,RUE,JEAN JOANNON,6600,ANTIBES,,27.33Z,"Legrand France, 159  Rue Jean Joannon, 6600 Antibes",Legrand Antibes,"159 Rue Jean Joannon, 06600 Antibes, France","(43.6051827, 7.0731012, 0.0)",43.6051827,7.0731012,0.0
415550284,41555028400012,1900-01-01,42,V. MANE FILS,NAFRev2,620,,RTE,DE GRASSE,6620,LE BAR-SUR-LOUP,MANE,20.14Z,"V. Mane Fils, 620  Rte De Grasse, 6620 Le Bar-Sur-Loup",V. Mane Fils Le Bar-Sur-Loup,"Route de Grasse, 06620 Le Bar-sur-Loup, France","(43.6948916, 6.9784545, 0.0)",43.6948916,6.9784545,0.0
335820684,33582068400025,1900-01-01,32,EXCELVISION,NAFRev2,27,,RUE,DE LA LOMBARDIERE,7100,ANNONAY,,21.20Z,"Excelvision, 27  Rue De La Lombardiere, 7100 Annonay",Excelvision Annonay,"27 Rue de la Lombardière, 07104 Annonay, France","(45.2518454, 4.690477599999999, 0.0)",45.2518454,4.690477599999999,0.0
419683818,41968381800035,1998-12-31,42,IVECO FRANCE,NAFRev2,nan,,AV,FERDINAND JANVIER,7100,ANNONAY,,29.10Z,"Iveco France,  Av Ferdinand Janvier, 7100 Annonay",Iveco Annonay,"Avenue Ferdinand Janvier, 07100 Annonay, France","(45.2509545, 4.6659047, 0.0)",45.2509545,4.6659047,0.0
501607865,50160786500018,2007-12-10,32,CHOMARAT TEXTILES INDUSTRIES,NAFRev2,39,,AV,DES CHABANNES,7160,LE CHEYLARD,,13.20Z,"Chomarat Textiles Industries, 39  Av Des Chabannes, 7160 Le Cheylard",Chomarat Textiles Industries Le Cheylard,"39 Avenue de Chabannes, 07160 Le Cheylard, France","(44.9030498, 4.4166834, 0.0)",44.9030498,4.4166834,0.0
343651469,34365146900045,1991-07-01,32,FABRICATION CHIMIQUE ARDECHOISE,NAFRev2,1041,,CHE,DE LA DIGUE DU RHONE,7300,TOURNON-SUR-RHONE,,20.41Z,"Fabrication Chimique Ardechoise, 1041  Che De La Digue Du Rhone, 7300 Tournon-Sur-Rhone",Fabrication Chimique Ardechoise Tournon-Sur-Rhone,"1041 Chemin de la Digue du Rhône, 07300 Tournon-sur-Rhône, France","(45.0452804, 4.8457319, 0.0)",45.0452804,4.8457319,0.0
458502838,45850283800071,1989-12-21,41,TRIGANO VDL,NAFRev2,1,,AV,DE ROCHEBONNE,7300,TOURNON-SUR-RHONE,CAMPUS TRIGANO,29.10Z,"Trigano Vdl, 1  Av De Rochebonne, 7300 Tournon-Sur-Rhone",Trigano Vdl Tournon-Sur-Rhone,"1 Avenue de Rochebonne, 07300 Tournon-sur-Rhône, France","(45.067725, 4.8066643, 0.0)",45.067725,4.8066643,0.0
306348632,30634863200036,1995-09-01,32,PLASTIC OMNIUM COMPOSITES,NAFRev2,nan,,,,7340,ANDANCE,,29.32Z,"Plastic Omnium Composites,   , 7340 Andance",Plastic Omnium Composites Andance,"La Grande Île Bayard, 07340 Andance, France","(45.2542839, 4.8014697, 0.0)",45.2542839,4.8014697,0.0
